last pid: 61769;  load averages:  0.49,  0.33,  0.26  up 75+19:28:30    17:21:59
112 processes: 1 running, 111 sleeping
CPU:  0.6% user,  0.0% nice,  0.3% system,  0.0% interrupt, 99.1% idle
Mem: 69M Active, 558M Inact, 166M Laundry, 11G Wired, 224M Buf, 3958M Free
ARC: 7557M Total, 5509M MFU, 1305M MRU, 306K Anon, 109M Header, 633M Other
     6114M Compressed, 13G Uncompressed, 2.23:1 Ratio
Swap: 2048M Total, 23M Used, 2024M Free, 1% Inuse

  PID USERNAME    THR PRI NICE   SIZE    RES STATE    C   TIME    WCPU COMMAND
  770 root          2  20    0    98M    85M select   1  71:21   0.02% vmtoolsd
74106 ykzheng       1  20    0    47M    36M select   2   0:01   0.00% python3.7
46582 kuohh         1  20    0    41M    31M select   1   0:00   8.10% sshd
60126 kuohh         1  20    0    41M    31M select   3   0:00   0.00% sshd
60185 kuohh         1  20    0    41M    31M select   1   0:00   5.00% sshd
46647 kuohh         1  20    0    41M    31M select   0   0:00   0.00% sshd
61755 luc           1  20    0    41M    31M select   0   0:00   0.70% sshd
40421 jchuang       1  20    0    41M    31M select   1   0:00   0.00% sshd
47617 luc           1  20    0    41M    31M select   2   0:00   0.50% sshd
56546 phlai41027    1  20    0    41M    31M select   0   0:00   0.00% sshd
40353 jchuang       1  20    0    41M    31M select   0   0:00   0.20% sshd
56487 phlai41027    1  20    0    41M    31M select   3   0:00   0.00% sshd
98202 jchuang       1  20    0    41M    30M select   2   0:02   0.00% sshd
76216 jbliao        1  52    0    41M    30M select   0   0:00   0.00% sshd
98131 jchuang       1  20    0    41M    30M select   3   0:00   0.00% sshd
76285 jbliao        1  20    0    41M    30M select   0   0:12   0.00% sshd
47620 luc           1  20    0    37M    28M select   0   0:00   12.00% sftp-server
42773 changchk07    1  20    0    55M    27M select   1   0:05   0.00% vim
76286 jbliao        1  52    0    27M    18M ttyin    2   0:01   0.00% zsh
  814 ntpd          1  20    0    18M    18M select   3   4:21   0.00% ntpd
61427 jchuang       1  20    0    27M    15M select   0   0:01   0.00% mutt
93428 changchk07    1  20    0    19M    11M select   2   0:40   0.00% tmux
 2665 fzhong        1  20    0    20M    11M select   0  12:00   0.00% tmux
47551 luc           1  20    0    21M    10M select   0   0:00   0.00% sshd
61692 luc           1  52    0    21M    10M select   3   0:00   0.00% sshd
  846 root          1  20    0    35M  9512K select   3   0:14   0.00% nrpe3
  600 nslcd         6  52    0    33M  9212K nanslp   2  11:24   0.00% nslcd
60284 kuohh         1  20    0    17M  8148K select   0   0:00   0.00% ssh
46678 kuohh         1  20    0    17M  8048K select   2   0:00   0.00% ssh
18010 fzhong        1  20    0    17M  7808K select   0   0:00   0.00% ssh
59904 fzhong        1  20    0    17M  7792K select   3   0:00   0.00% ssh
32989 poyehchen     1  20    0    17M  7784K select   2   0:00   0.00% ssh
32970 poyehchen     1  20    0    17M  7784K select   0   0:00   0.00% ssh
32891 poyehchen     1  20    0    17M  7784K select   3   0:00   0.00% ssh
90864 fzhong        1  20    0    17M  7784K select   2   0:00   0.00% ssh
32886 poyehchen     1  20    0    17M  7784K select   3   0:00   0.00% ssh
32966 poyehchen     1  20    0    17M  7784K select   2   0:00   0.00% ssh
61758 luc           1  21    0    16M  7592K select   2   0:00   1.00% sftp-server
  882 root          1  20    0    19M  7504K select   1   0:20   0.00% sshd
74206 ykzheng       1  52    0    18M  7416K ttyin    1   0:00   0.00% zsh
63322 ykzheng       1  20    0    18M  7312K ttyin    0   0:01   0.00% zsh
66159 ykzheng       1  46    0    18M  7148K pause    2   0:00   0.00% zsh
84764 weiyuh        1  52    0    18M  7060K ttyin    3   0:00   0.00% zsh
63085 ykzheng       1  52    0    15M  6640K ttyin    3   0:00   0.00% zsh
60186 kuohh         1  52    0    14M  6016K wait     2   0:00   0.00% bash
46648 kuohh         1  52    0    14M  6008K wait     3   0:00   0.00% bash
47008 fzhong        1  20    0    14M  5952K wait     3   0:01   0.00% bash
46569 wdzeng        1  52    0    14M  5940K select   2   0:00   0.00% bash
 4862 changchk07    1  20    0    14M  5916K select   3   0:00   0.00% bash
11963 changchk07    1  20    0    14M  5912K select   3   0:00   0.50% bash
11971 changchk07    1  20    0    14M  5912K wait     0   0:00   0.49% bash
 9452 changchk07    1  20    0    14M  5892K wait     3   0:00   0.00% bash
98419 fzhong        1  40    0    14M  5888K select   1   0:00   0.00% bash
91449 changchk07    1  20    0    14M  5880K select   0   0:02   0.00% bash
93479 changchk07    1  20    0    14M  5880K wait     1   0:00   0.00% bash
